,,"Less than $10,000","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $59,999","$60,000 to $74,999","$75,000 to $99,999","$100,000 to $124,999","$125,000 to $149,999","$150,000 to $199,999","$200,000 or more",total
ZCTA5 85145,Margin of Error,+/-15,+/-15,+/-17,+/-24,+/-10,+/-23,+/-24,+/-43,+/-35,+/-47,+/-38,+/-36,+/-32,+/-23,+/-5,+/-13,0
ZCTA5 85147,Estimate,383,110,65,18,61,105,50,63,16,69,99,56,21,0,16,0,1132
ZCTA5 85147,Margin of Error,+/-109,+/-62,+/-63,+/-22,+/-43,+/-65,+/-39,+/-42,+/-17,+/-47,+/-52,+/-33,+/-26,+/-13,+/-27,+/-13,0
ZCTA5 85172,Estimate,76,43,56,0,0,26,75,30,0,20,0,36,56,0,12,0,430
ZCTA5 85172,Margin of Error,+/-116,+/-51,+/-65,+/-13,+/-13,+/-43,+/-118,+/-46,+/-13,+/-30,+/-13,+/-52,+/-62,+/-13,+/-23,+/-13,0
ZCTA5 85173,Estimate,76,72,85,38,106,33,35,61,56,97,115,88,75,31,15,0,983
ZCTA5 85173,Margin of Error,+/-39,+/-37,+/-45,+/-27,+/-44,+/-25,+/-26,+/-40,+/-40,+/-50,+/-52,+/-45,+/-47,+/-25,+/-17,+/-13,0
ZCTA5 85192,Estimate,26,31,26,2,83,20,29,21,17,73,82,81,25,14,0,5,535
ZCTA5 85192,Margin of Error,+/-25,+/-34,+/-25,+/-3,+/-65,+/-16,+/-22,+/-18,+/-13,+/-51,+/-56,+/-58,+/-20,+/-13,+/-13,+/-7,0
ZCTA5 85193,Estimate,121,59,89,105,7,90,50,79,28,135,185,144,131,19,9,0,1251
ZCTA5 85193,Margin of Error,+/-75,+/-59,+/-51,+/-62,+/-11,+/-57,+/-45,+/-53,+/-23,+/-80,+/-94,+/-77,+/-95,+/-20,+/-14,+/-13,0
ZCTA5 85194,Estimate,182,63,180,149,182,181,177,126,155,199,444,257,159,78,65,74,2671
ZCTA5 85194,Margin of Error,+/-115,+/-59,+/-91,+/-75,+/-89,+/-79,+/-70,+/-64,+/-79,+/-63,+/-122,+/-80,+/-68,+/-40,+/-39,+/-46,0
ZCTA5 85201,Estimate,1401,1455,1465,2023,1455,1477,1290,1137,923,1199,1497,1182,791,590,302,158,18345
ZCTA5 85201,Margin of Error,+/-243,+/-289,+/-249,+/-323,+/-284,+/-285,+/-297,+/-260,+/-213,+/-239,+/-251,+/-226,+/-200,+/-142,+/-146,+/-109,0
ZCTA5 85202,Estimate,1362,1007,855,1085,976,1240,832,748,998,1301,1479,1635,741,381,476,122,15238
ZCTA5 85202,Margin of Error,+/-248,+/-216,+/-192,+/-270,+/-197,+/-245,+/-205,+/-162,+/-234,+/-237,+/-230,+/-242,+/-141,+/-117,+/-112,+/-55,0
ZCTA5 85203,Estimate,809,440,852,919,717,746,825,536,656,993,1133,1177,914,416,409,262,11804
ZCTA5 85203,Margin of Error,+/-232,+/-127,+/-207,+/-176,+/-166,+/-189,+/-199,+/-133,+/-179,+/-166,+/-241,+/-209,+/-160,+/-109,+/-99,+/-73,0
ZCTA5 85204,Estimate,1033,1217,1558,1680,1401,1314,1207,1082,1161,2073,2239,2465,1068,462,370,239,20569
ZCTA5 85204,Margin of Error,+/-204,+/-263,+/-251,+/-249,+/-294,+/-215,+/-241,+/-207,+/-224,+/-274,+/-310,+/-321,+/-219,+/-128,+/-126,+/-95,0
ZCTA5 85205,Estimate,1196,1253,1230,1174,1090,807,1229,1217,589,1359,1897,1748,1180,602,714,470,17755
ZCTA5 85205,Margin of Error,+/-244,+/-276,+/-206,+/-280,+/-223,+/-219,+/-270,+/-250,+/-150,+/-273,+/-263,+/-272,+/-271,+/-175,+/-158,+/-111,0
ZCTA5 85206,Estimate,952,773,1128,963,774,801,791,1059,947,1233,1707,1330,1089,511,281,355,14694
ZCTA5 85206,Margin of Error,+/-254,+/-177,+/-267,+/-204,+/-217,+/-172,+/-220,+/-225,+/-255,+/-228,+/-267,+/-196,+/-216,+/-147,+/-110,+/-171,0
ZCTA5 85207,Estimate,1161,506,745,758,824,766,569,596,492,1406,1912,2081,1923,1107,1273,1050,17169
ZCTA5 85207,Margin of Error,+/-270,+/-140,+/-183,+/-187,+/-183,+/-173,+/-137,+/-134,+/-147,+/-233,+/-257,+/-260,+/-258,+/-243,+/-232,+/-216,0
ZCTA5 85208,Estimate,1016,822,1013,964,731,936,1048,825,794,1448,1363,1617,985,551,303,103,14519
ZCTA5 85208,Margin of Error,+/-192,+/-167,+/-196,+/-200,+/-162,+/-169,+/-236,+/-224,+/-203,+/-235,+/-234,+/-247,+/-202,+/-188,+/-141,+/-56,0
ZCTA5 85209,Estimate,882,457,578,589,608,1012,820,999,724,1999,1752,2519,1404,751,633,264,15991
ZCTA5 85209,Margin of Error,+/-215,+/-116,+/-155,+/-155,+/-145,+/-196,+/-196,+/-228,+/-170,+/-356,+/-246,+/-355,+/-262,+/-173,+/-174,+/-102,0
ZCTA5 85210,Estimate,1420,871,1134,701,991,1108,690,809,708,1052,943,1086,702,423,309,90,13037
